key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
l198,40.032948;12.134099;5.298565,,,
l199,38.923303;12.279885;5.172743,,,
l200,15.288954;-9.377448;5.624901,,,
l201,31.315304;-4.193379;5.409692,,,
l202,31.976913;-3.915404;5.514891,,,
l203,26.685370;9.874782;5.557790,,,
l204,20.830162;10.165221;5.620290,,,
l205,17.886543;10.637718;5.549262,,,
l206,30.213090;11.456442;5.567372,,,
l207,35.282756;11.686284;5.550049,,,
l208,15.071753;12.354478;5.674419,,,
l209,29.097131;-4.065584;5.704285,,,
l210,23.829882;-3.989200;5.821905,,,
l211,33.232568;-3.499802;5.718231,,,
l212,27.683733;9.363149;5.703451,,,
l213,24.968063;9.646776;5.848838,,,
l214,31.898830;10.226705;5.763101,,,
l215,26.877792;11.255118;5.694071,,,
l216,31.288566;11.359381;5.731511,,,
l217,14.516460;13.333517;5.741783,,,
l218,15.837115;15.401504;5.903948,,,
l219,27.326188;-3.663177;5.991494,,,
l220,28.678773;8.937197;5.857997,,,
l221,26.080613;8.989335;6.022083,,,
l222,45.343792;9.389758;5.845739,,,
l223,32.785909;9.851232;5.886071,,,
l224,16.297758;10.081336;6.034965,,,
l225,15.233121;11.920630;6.096584,,,
l226,23.153059;-4.654434;6.246284,,,
l227,22.451832;-4.448877;6.056962,,,
l228,28.011674;-2.793959;6.116708,,,
l229,46.479550;8.809284;5.968539,,,
l230,26.892013;8.634739;6.161832,,,
l231,19.017933;9.894338;6.218915,,,
l232,14.953230;10.221382;6.153798,,,
l233,25.911928;10.554391;6.111682,,,
l234,21.734826;-4.885540;6.426667,,,
l235,23.958818;-3.976212;6.421376,,,
l236,26.371115;-3.158611;6.391504,,,
l237,32.131099;-2.654873;6.253756,,,
l238,29.036302;-2.235968;6.325566,,,
l239,47.667468;8.341263;6.102128,,,
l240,25.320180;8.331514;6.438682,,,
l241,28.179006;8.304763;6.403452,,,
l242,30.983602;8.557961;6.259713,,,
l243,24.735801;8.685715;6.335672,,,
l244,41.279791;9.646660;6.308559,,,
l245,19.951124;9.877312;6.452942,,,
l246,17.954175;10.132397;6.482223,,,
l247,23.838053;10.230571;6.275594,,,
l248,15.669157;10.317420;6.369411,,,
l249,20.133041;-4.889410;6.483052,,,
l250,22.681328;-3.733307;6.629032,,,
l251,43.447810;-2.848567;6.449703,,,
l252,26.758670;-2.594006;6.469123,,,
l253,19.516852;-4.799821;6.783127,,,
l254,21.080784;-4.771362;6.758620,,,
l255,22.678779;-4.793664;6.682913,,,
l256,23.447957;-3.316478;6.826648,,,
l257,25.126140;-3.226856;6.694456,,,
l258,44.071738;-2.392421;6.537655,,,
l259,26.463220;7.965497;6.670034,,,
l260,29.706308;8.116958;6.706601,,,
l261,20.285860;8.151444;6.859560,,,
l262,21.891707;8.150314;6.758891,,,
l263,43.895006;8.448384;6.643363,,,
l264,18.308807;8.533602;6.841891,,,
l265,38.165755;9.262674;6.735402,,,
l266,20.238361;-4.552847;6.997459,,,
l267,22.046884;-3.502314;6.978001,,,
l268,25.997178;-2.225423;6.893454,,,
l269,28.348508;-1.702288;6.829734,,,
l270,45.999120;-1.396977;6.815382,,,
l271,35.619083;-1.232716;6.906946,,,
l272,45.229482;7.523262;6.809405,,,
l273,19.374561;7.852785;7.074104,,,
l274,38.997216;8.999752;6.861044,,,
l275,24.320880;-2.985187;7.060302,,,
l276,24.700539;-2.185741;7.144621,,,
l277,46.850231;-0.699020;6.938957,,,
l278,46.368996;7.043736;6.962077,,,
l279,21.842847;7.265381;7.212987,,,
l280,39.889178;8.732784;6.997363,,,
l281,23.671739;-2.770991;7.443192,,,
l282,27.687564;-1.311196;7.318154,,,
l283,30.335909;1.728115;7.306470,,,
l284,48.682594;2.007728;7.217868,,,
l285,48.459119;5.420803;7.230800,,,
l286,26.871411;8.042890;7.425182,,,
l287,26.081499;-1.494004;7.522216,,,
l288,34.367309;-0.803201;7.453492,,,
l289,31.139442;0.499791;7.484070,,,
l290,28.286819;1.412524;7.479851,,,
l291,26.246629;1.497235;7.574048,,,
l292,23.944024;1.741064;7.503761,,,
l293,24.008398;2.977057;7.563170,,,
l294,30.969800;4.273091;7.520288,,,
l295,30.369812;5.374275;7.423032,,,
l296,23.741296;5.643735;7.634203,,,
l297,27.933692;7.045556;7.619905,,,
l298,27.156972;7.506491;7.456403,,,
l299,30.476400;7.544124;7.560547,,,
l300,33.478654;7.832780;7.474210,,,
l301,24.777963;7.919470;7.511262,,,
l302,37.297770;8.003548;7.407484,,,
l303,22.966619;-2.558112;7.783710,,,
l304,26.869472;-0.969667;7.739454,,,
l306,31.791559;-0.922468;7.638640,,,
l307,31.839969;0.017457;7.648471,,,
l308,29.073859;0.384982;7.674399,,,
l309,35.711012;1.174326;7.746949,,,
l310,22.708526;1.458822;7.672871,,,
l311,22.735105;2.235887;7.704022,,,
l312,29.221147;3.991388;7.790083,,,
l313,24.157405;5.097287;7.720933,,,
l314,26.262390;5.151188;7.716506,,,
l315,22.192972;5.213654;7.694768,,,
l316,22.082644;6.792804;7.800487,,,
l317,31.544689;7.009668;7.776688,,,
l318,34.770804;7.107346;7.709268,,,
l319,38.384774;7.224466;7.579892,,,
l320,25.560165;7.731838;7.706887,,,
l322,46.034676;-0.041914;7.856014,,,
