key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
b174,,,,0.019815;-0.111644;0.035194;-0.000200;0.002138;0.002063
b175,,,,0.020107;-0.111647;0.035264;-0.000200;0.002152;0.002063
b176,,,,0.020265;-0.111648;0.035301;-0.000200;0.002158;0.002063
b177,,,,0.020645;-0.111648;0.035386;-0.000200;0.002169;0.002062
l0,16.259169;-10.657077;-0.012019,,,
l1,21.625440;-7.551996;-0.011531,,,
l2,22.383194;-7.551850;-0.012022,,,
l3,24.616886;-7.585849;-0.013513,,,
l4,25.308918;-7.502957;-0.013856,,,
l5,28.427079;-7.362911;-0.015698,,,
l6,0.745520;5.521008;0.042606,,,
l7,19.232376;13.259862;0.016601,,,
l8,25.433746;13.958822;0.013474,,,
l9,32.724420;14.011225;0.008817,,,
l10,24.480416;14.179883;0.014375,,,
l11,27.024221;14.083188;0.012602,,,
l12,30.925577;14.352630;0.010418,,,
l13,16.000728;-7.105722;0.363363,,,
l14,20.996387;-7.068402;0.461001,,,
l15,22.814577;-7.013384;0.497153,,,
l16,23.760794;-6.959624;0.515980,,,
l17,24.605730;-6.923543;0.532931,,,
l18,18.104843;13.019236;0.492480,,,
l19,16.715537;13.332546;0.474096,,,
l20,22.731912;13.864372;0.584474,,,
l21,15.493745;14.582370;0.474841,,,
l22,15.028933;15.063203;0.476054,,,
l23,15.187043;-8.224538;0.724240,,,
l24,29.721992;-7.274621;0.638939,,,
l26,33.906200;-6.181508;0.721742,,,
l27,24.682517;13.937564;0.620628,,,
l28,26.266955;13.957068;0.650015,,,
l29,28.211281;13.930570;0.686068,,,
l30,31.549635;14.016643;0.750593,,,
l31,33.425720;13.988907;0.786602,,,
l32,19.634554;-7.379298;0.882346,,,
l33,18.784029;-6.727241;0.838889,,,
l34,19.946306;-6.763089;0.886333,,,
l35,37.373669;13.643343;0.860914,,,
l36,34.716790;13.977941;0.811668,,,
l37,14.295482;14.910237;0.904387,,,
l38,14.055293;-9.262314;1.064032,,,
l39,14.589824;-7.783149;1.043959,,,
l40,20.066008;13.086954;1.038933,,,
l42,23.334689;13.932499;1.178044,,,
