key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
l170,20.440399;-5.257327;5.329417,,,
l171,28.298992;-4.945281;5.313393,,,
l172,45.359139;10.783068;5.559896,,,
l173,22.673318;11.130133;5.243432,,,
l174,37.275960;12.461877;5.548794,,,
l175,14.320844;-9.177439;5.460701,,,
l176,15.011088;-7.434037;5.387210,,,
l177,26.042685;-4.772513;5.490994,,,
l178,26.708550;-4.665845;5.624693,,,
l179,46.700448;10.279441;5.703397,,,
l180,21.621110;10.576972;5.542531,,,
l181,15.848905;11.900217;5.458433,,,
l182,38.462715;12.265433;5.701000,,,
l183,14.833762;12.878279;5.403559,,,
l184,13.455184;-9.493349;5.678785,,,
l185,18.020237;-5.414354;5.623104,,,
l186,27.468995;-4.564277;5.778448,,,
l187,19.314577;10.854738;5.603723,,,
l188,15.497140;11.369697;5.744401,,,
l189,24.817147;11.421489;5.676371,,,
l190,40.103532;12.053498;5.915416,,,
l191,39.280742;12.165336;5.807935,,,
l192,15.380801;-9.387378;5.789646,,,
l193,19.254766;-5.210489;5.966096,,,
l194,32.159996;-4.070173;6.005033,,,
l195,27.051758;9.807172;5.985679,,,
l196,21.058937;10.122049;5.916365,,,
l197,18.679540;10.396296;5.902026,,,
l198,16.782901;10.636495;5.945256,,,
l199,23.407900;10.694732;5.930793,,,
l200,25.857168;11.381032;5.872440,,,
l201,30.576045;11.374017;6.054643,,,
l202,14.852715;13.302979;5.952421,,,
l203,16.406819;-5.454424;5.990344,,,
l204,29.438355;-4.140308;6.174009,,,
l205,24.170886;-4.046938;6.202583,,,
l206,33.584724;-3.588858;6.260266,,,
l207,28.101658;9.267474;6.157757,,,
l208,25.328455;9.584486;6.246928,,,
l209,27.240516;11.183994;6.124310,,,
l210,31.642593;11.271583;6.235999,,,
l211,36.398043;11.496581;6.237924,,,
l212,16.219916;15.367071;6.147787,,,
l213,17.254145;-5.316255;6.259166,,,
l214,22.505956;-4.380945;6.331206,,,
l215,27.579631;-3.759452;6.412745,,,
l216,29.102464;8.839246;6.331388,,,
l217,45.818514;9.152157;6.606161,,,
l218,33.139184;9.761882;6.417090,,,
l219,16.663583;10.049373;6.286087,,,
l220,15.635048;11.880974;6.336009,,,
l221,23.076878;-4.895805;6.513963,,,
l222,28.350249;-2.864564;6.568584,,,
l223,46.805920;8.672242;6.730998,,,
l224,30.068989;8.677014;6.516332,,,
l225,19.217357;9.838346;6.470628,,,
l226,15.839796;10.164720;6.530438,,,
l227,26.265347;10.486547;6.524793,,,
l228,45.985422;11.067685;6.687398,,,
l229,14.853446;11.683789;6.550299,,,
l230,14.331291;12.171034;6.513583,,,
l231,22.089537;-4.943456;6.780265,,,
l232,42.102420;-4.155092;6.902803,,,
l233,26.565062;-3.319735;6.783052,,,
l234,32.457524;-2.738151;6.773640,,,
l235,29.246017;-2.381510;6.766840,,,
l236,48.015111;8.205044;6.888364,,,
l237,25.660424;8.266594;6.840575,,,
l238,28.511623;8.228601;6.852703,,,
l239,27.750375;8.345168;6.690335,,,
l240,31.311319;8.470797;6.755847,,,
l241,41.742352;9.434559;7.000488,,,
l242,20.310110;9.834192;6.767003,,,
