key,landmark(x;y;z),pose(x;y;z;r;p;y;cov[36]),velocity(u;v;w),bias(bu;bv;bw;br;bp;by)
l257,22.013048;8.122816;6.812158,,,
l258,44.290680;8.063062;6.915834,,,
l259,18.755861;8.384838;6.942020,,,
l260,20.543379;-4.702525;7.133385,,,
l261,20.803995;-4.006251;7.170350,,,
l262,26.400173;-2.363233;7.083360,,,
l263,46.516968;-2.000366;7.154972,,,
l264,28.698357;-1.931234;7.020766,,,
l265,35.972801;-1.532373;7.147329,,,
l266,45.608807;7.124879;7.091993,,,
l267,19.874243;7.652205;7.197672,,,
l268,38.985569;8.799994;7.031710,,,
l269,18.132641;10.764400;7.125348,,,
l270,24.633398;-3.172750;7.219589,,,
l271,25.024155;-2.377112;7.306336,,,
l272,47.210384;-1.108644;7.256895,,,
l273,46.948528;6.530481;7.282755,,,
l274,22.195375;7.119407;7.320683,,,
l275,40.279884;8.385686;7.239393,,,
l276,23.983677;-2.951455;7.597633,,,
l277,28.026159;-1.531745;7.501353,,,
l278,30.692801;1.482597;7.499941,,,
l279,49.035694;1.581222;7.539236,,,
l280,30.718594;4.902523;7.591212,,,
l281,48.845772;4.996348;7.544712,,,
l282,27.339550;7.805799;7.594269,,,
l283,26.354963;-1.731186;7.677390,,,
l284,34.723328;-1.089314;7.685338,,,
l285,31.381584;0.289494;7.660616,,,
l286,26.716764;1.186132;7.771972,,,
l287,24.283964;1.523968;7.646647,,,
l288,28.499765;1.420514;7.624809,,,
l289,31.336676;4.020337;7.710531,,,
l290,28.321962;6.820546;7.782171,,,
l291,30.882021;7.296886;7.743332,,,
l292,38.129906;7.387949;7.708408,,,
l293,33.945595;7.519009;7.688584,,,
l294,25.185322;7.727301;7.652205,,,
l295,37.597687;7.775639;7.619642,,,
l296,23.191599;-2.851654;7.908697,,,
l297,25.243917;-1.620195;7.953067,,,
l298,27.132839;-1.215732;7.895096,,,
l299,29.479942;-1.079685;7.884664,,,
l300,32.137352;-1.182765;7.851241,,,
l301,32.156116;-0.242317;7.850290,,,
l302,29.405323;0.152319;7.858782,,,
l303,36.057026;0.876542;7.978830,,,
l304,23.057436;1.288886;7.812265,,,
l305,23.087040;2.065402;7.840765,,,
l306,29.580639;3.755989;7.967486,,,
l307,23.287823;4.061325;7.995485,,,
l308,24.561352;4.881649;7.868419,,,
l309,26.633259;4.943957;7.870471,,,
l310,22.576239;5.048508;7.823194,,,
l311,22.448017;6.619264;7.913839,,,
l312,31.929178;6.749361;7.964379,,,
l313,35.171700;6.818361;7.923421,,,
l314,38.775887;6.897638;7.817074,,,
l315,25.788990;7.598680;7.810029,,,
l316,23.695393;-1.516752;8.035558,,,
l317,28.003139;-0.944307;8.145264,,,
l318,46.518124;-0.313097;8.189249,,,
l319,27.962620;0.030971;8.128195,,,
l320,36.288689;0.173781;8.028178,,,
l321,40.756878;0.642162;8.092736,,,
l322,40.402454;1.538617;8.026795,,,
l323,27.584997;3.857703;8.094148,,,
l324,25.294434;4.407157;8.068538,,,
l325,36.526783;5.143861;8.159124,,,
l326,40.512440;5.412166;8.113416,,,
l327,39.939857;6.017585;8.017431,,,
l328,35.745132;6.413627;8.032074,,,
l329,26.910532;6.522333;8.045084,,,
l330,24.784721;7.266763;8.115148,,,
l331,45.928169;7.436907;8.188901,,,
l332,24.470757;-1.158414;8.291209,,,
l333,26.370207;-0.885532;8.295872,,,
l334,37.586548;3.170232;8.344397,,,
l335,28.336973;3.320091;8.291894,,,
l336,26.344772;3.686548;8.361024,,,
l337,37.048862;4.011235;8.243320,,,
l338,42.009872;4.422894;8.386153,,,
l339,46.324501;6.049967;8.222937,,,
l340,27.664606;6.095634;8.231451,,,
l341,48.725548;2.796680;8.591764,,,
l342,34.344040;2.901435;8.414081,,,
l343,47.863937;5.301791;8.476810,,,
l344,49.114513;0.761585;8.647680,,,
l345,48.850613;3.898348;8.626842,,,
l346,45.190063;3.483612;8.999516,,,
l1152,35.620426;-6.709313;0.615082,,,
l1155,47.985748;12.565574;0.960006,,,
l1159,51.524982;-6.648588;1.947578,,,
l1161,31.305510;12.793941;2.673817,,,
l1163,28.795696;-5.736186;2.778997,,,
l1164,27.935003;-5.736323;3.247928,,,
l1165,41.936890;-5.845311;3.277508,,,
l1166,30.914675;12.704197;3.957689,,,
l1168,49.793869;11.383356;4.090179,,,
l1170,42.602093;-5.851399;4.202499,,,
l1172,33.709293;12.453990;4.271520,,,
l1173,43.430164;12.402437;4.521180,,,
l1175,33.390289;11.752964;4.903647,,,
l1178,23.720873;-5.883480;5.126712,,,
l1180,52.210186;-5.111772;5.196048,,,
l1189,36.271191;9.741387;5.965406,,,
l1192,49.050484;8.752306;6.005355,,,
l1194,44.014694;10.266569;6.350650,,,
l1195,24.444712;10.826472;6.254209,,,
l1196,46.034908;-4.262915;6.439394,,,
l1199,45.111740;9.612798;6.484604,,,
l1203,33.646584;-2.526601;6.623300,,,
l1205,24.291668;7.960673;6.940457,,,
l1206,43.402168;-3.173169;6.931351,,,
l1208,48.779221;6.439490;6.924693,,,
l1210,51.271671;-2.794930;7.206628,,,
l1211,51.030048;0.736531;7.171713,,,
l1212,51.154346;1.599316;7.196733,,,
l1213,50.848415;4.635364;7.192833,,,
l1214,50.960224;5.444385;7.225657,,,
l1215,32.612083;7.807140;7.299242,,,
l1216,36.025986;8.361020;7.365817,,,
l1217,51.851051;-2.363999;7.291110,,,
l1222,47.715343;1.159421;7.666205,,,
l1224,47.511829;4.722084;7.684449,,,
l1228,47.950054;3.827812;7.741482,,,
l1230,49.814419;-0.431152;8.019707,,,
l1231,36.898712;1.731479;8.085837,,,
l1233,43.671799;7.839616;8.039744,,,
l1235,50.846870;2.643047;8.220209,,,
l1237,32.698483;2.855417;8.461403,,,
l1238,30.852495;2.753263;8.580095,,,
l1240,47.935780;0.351721;8.698916,,,
l1242,47.855785;3.753057;8.724463,,,
l1493,43.385277;-6.582810;0.048604,,,
l1495,37.446606;14.040164;0.062925,,,
l1498,36.574982;-5.704781;0.622176,,,
l1501,43.662556;14.311070;0.999947,,,
l1504,53.107861;12.911517;2.347011,,,
l1506,35.247520;-5.443168;2.470683,,,
l1508,35.899075;12.677980;2.783283,,,
l1510,42.993305;-5.906112;3.243509,,,
l1511,43.437359;-5.461060;3.283164,,,
l1514,53.552330;11.369442;4.446355,,,
l1516,46.846745;11.449724;4.704513,,,
l1517,45.995640;11.743412;4.613741,,,
l1519,42.179165;12.198060;5.004452,,,
l1521,39.153679;-4.788296;5.749825,,,
l1530,37.739346;-2.992090;6.857219,,,
l1531,37.763878;-1.866823;6.845218,,,
l1532,47.574463;-2.357600;7.301846,,,
l1533,53.490490;1.732176;7.383877,,,
l1536,54.121006;7.264431;7.587950,,,
l1537,40.355362;-4.134866;7.494426,,,
l1538,49.555183;4.004617;7.716909,,,
l1539,50.159626;3.388015;7.820154,,,
l1541,51.790298;-0.762979;8.095241,,,
l1542,37.551102;-0.572644;8.206810,,,
l1546,50.290596;1.451711;8.802201,,,
l1677,34.874954;-6.985824;-0.260069,,,
l1678,34.885277;13.846169;-0.220245,,,
l1679,38.818584;14.069963;-0.219300,,,
l1680,40.766716;14.271564;-0.218659,,,
l1681,26.890989;-7.363468;0.542240,,,
l1682,31.577398;-5.863500;0.714270,,,
l1683,56.034340;12.915285;0.816922,,,
l1685,37.472073;-5.654835;0.962418,,,
l1686,36.142097;-5.663025;1.488632,,,
l1687,53.708466;12.672950;1.752635,,,
l1688,37.939339;12.895685;1.770391,,,
l1689,35.485973;-5.509441;2.014465,,,
l1690,42.449177;13.222387;2.052320,,,
l1692,43.005619;13.335589;2.862550,,,
l1695,37.802658;12.739415;3.086058,,,
l1696,53.179867;12.650302;3.687771,,,
l1697,36.884502;12.868896;3.651913,,,
l1698,46.516491;12.308475;3.961236,,,
l1700,30.917757;-5.738981;4.532045,,,
l1703,29.956921;-5.302759;4.774084,,,
l1705,58.196873;10.517412;5.146217,,,
l1710,55.031292;8.164727;5.759054,,,
l1711,54.162140;8.521597;5.655200,,,
l1712,54.182461;10.187284;5.704594,,,
l1714,44.457500;-4.166753;5.839212,,,
l1715,55.754116;-3.432899;5.766739,,,
l1716,43.554047;11.233458;5.955356,,,
l1719,51.567699;7.924010;6.239232,,,
l1720,49.274464;-4.594224;6.690948,,,
l1722,30.889326;-2.167881;6.822870,,,
l1723,55.853050;-1.970536;6.786781,,,
l1724,37.848831;9.171742;6.863532,,,
l1725,39.640377;-4.445701;7.044761,,,
l1727,37.315193;-1.525189;7.031802,,,
l1728,51.882446;0.102127;7.103481,,,
l1730,57.170811;1.109093;6.986647,,,
l1732,51.916931;2.549295;7.123444,,,
l1733,57.704735;4.174512;7.096629,,,
l1734,57.337978;5.207080;7.056569,,,
l1735,56.635490;7.176161;6.989960,,,
l1736,40.863247;-4.122833;7.328862,,,
l1737,53.194862;-1.831406;7.341676,,,
l1738,59.196587;-0.777819;7.296682,,,
l1739,52.394592;4.468394;7.235880,,,
l1740,51.952934;5.961401;7.191095,,,
l1743,37.169777;-0.986764;7.619948,,,
l1744,54.940479;3.579031;7.668983,,,
l1746,39.502243;2.410393;8.315129,,,
l1747,35.420334;2.843497;8.354742,,,
l1749,47.227230;1.325038;8.817570,,,
